hour,pv_generation_kw,pv_curtailment_kw,flexible_load_kw,grid_import_kw,grid_export_kw,energy_price_dkk_kwh,hourly_cost_dkk,pv_self_consumption_kw
0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,0.0,0.0,3.0,3.0,0.0,0.9,2.7,0.0
4,0.0,0.0,3.0,3.0,0.0,0.85,2.55,0.0
5,0.15000000000000002,0.0,0.0,499.85,500.0,1.01,-0.15149999999999864,0.0
6,0.42000000000000004,0.0,0.0,499.58,500.0,1.05,-0.4410000000000309,0.0
7,0.63,0.0,0.0,499.37,500.0,1.2,-0.7559999999999718,0.0
8,0.44999999999999996,0.0,0.0,499.55,500.0,1.4,-0.6299999999999955,0.0
9,0.36,0.0,0.0,499.64,500.0,1.6,-0.5760000000000218,0.0
10,0.63,0.0,0.0,499.37,500.0,1.5,-0.9449999999999363,0.0
11,0.75,0.0,0.0,499.25,500.0,1.1,-0.8249999999999318,0.0
12,2.55,0.0,0.0,497.45,500.0,1.05,-2.677500000000009,0.0
13,2.25,0.0,0.0,497.75,500.0,1.0,-2.25,0.0
14,1.6500000000000001,0.0,2.0,500.35,500.0,0.95,0.3324999999999818,1.6500000000000001
15,1.29,0.0,0.0,498.71,500.0,1.0,-1.2900000000000205,0.0
16,0.6900000000000001,0.0,0.0,499.31,500.0,1.2,-0.8279999999999745,0.0
17,0.15000000000000002,0.0,0.0,499.85,500.0,1.5,-0.22499999999990905,0.0
18,0.75,0.0,0.0,499.25,500.0,2.1,-1.5750000000000455,0.0
19,0.75,0.0,0.0,499.25,500.0,2.5,-1.875,0.0
20,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0
